Abbreviation,TeamName,Position,GridPosition,Points,Race,Year,Rainfall,AirTemp,TrackTemp,StandingPoints,HomeRace,QualiPosition
BOT,Mercedes,1.0,2.0,26.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,2.0
HAM,Mercedes,2.0,1.0,18.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,1.0
VER,Red Bull Racing,3.0,4.0,15.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,4.0
VET,Ferrari,4.0,3.0,12.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,3.0
LEC,Ferrari,5.0,5.0,10.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,5.0
MAG,Haas F1 Team,6.0,7.0,8.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,7.0
HUL,Renault,7.0,11.0,6.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,11.0
RAI,Alfa Romeo Racing,8.0,9.0,4.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,9.0
STR,Racing Point,9.0,16.0,2.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,16.0
KVY,Toro Rosso,10.0,15.0,1.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,15.0
GAS,Red Bull Racing,11.0,17.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,17.0
NOR,McLaren,12.0,8.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,8.0
PER,Racing Point,13.0,10.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,10.0
ALB,Toro Rosso,14.0,13.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,13.0
GIO,Alfa Romeo Racing,15.0,14.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,14.0
RUS,Williams,16.0,19.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,19.0
KUB,Williams,17.0,20.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,20.0
GRO,Haas F1 Team,18.0,6.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,6.0
RIC,Renault,19.0,12.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,1,12.0
SAI,McLaren,20.0,18.0,0.0,Australian Grand Prix,2019,0,23.5,41.3,0.0,0,18.0
HAM,Mercedes,1.0,3.0,25.0,Bahrain Grand Prix,2019,0,26.2,28.6,18.0,0,3.0
BOT,Mercedes,2.0,4.0,18.0,Bahrain Grand Prix,2019,0,26.2,28.6,26.0,0,4.0
LEC,Ferrari,3.0,1.0,16.0,Bahrain Grand Prix,2019,0,26.2,28.6,10.0,0,1.0
VER,Red Bull Racing,4.0,5.0,12.0,Bahrain Grand Prix,2019,0,26.2,28.6,15.0,0,5.0
VET,Ferrari,5.0,2.0,10.0,Bahrain Grand Prix,2019,0,26.2,28.6,12.0,0,2.0
NOR,McLaren,6.0,9.0,8.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,10.0
RAI,Alfa Romeo Racing,7.0,8.0,6.0,Bahrain Grand Prix,2019,0,26.2,28.6,4.0,0,9.0
GAS,Red Bull Racing,8.0,13.0,4.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,13.0
ALB,Toro Rosso,9.0,12.0,2.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,12.0
PER,Racing Point,10.0,14.0,1.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,14.0
GIO,Alfa Romeo Racing,11.0,16.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,16.0
KVY,Toro Rosso,12.0,15.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,1.0,0,15.0
MAG,Haas F1 Team,13.0,6.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,8.0,0,6.0
STR,Racing Point,14.0,18.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,2.0,0,18.0
RUS,Williams,15.0,19.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,19.0
KUB,Williams,16.0,20.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,20.0
HUL,Renault,17.0,17.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,6.0,0,17.0
RIC,Renault,18.0,10.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,11.0
SAI,McLaren,19.0,7.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,7.0
GRO,Haas F1 Team,20.0,11.0,0.0,Bahrain Grand Prix,2019,0,26.2,28.6,0.0,0,8.0
HAM,Mercedes,1.0,2.0,25.0,Chinese Grand Prix,2019,0,19.3,27.3,43.0,0,2.0
BOT,Mercedes,2.0,1.0,18.0,Chinese Grand Prix,2019,0,19.3,27.3,44.0,0,1.0
VET,Ferrari,3.0,3.0,15.0,Chinese Grand Prix,2019,0,19.3,27.3,22.0,0,3.0
VER,Red Bull Racing,4.0,5.0,12.0,Chinese Grand Prix,2019,0,19.3,27.3,27.0,0,5.0
LEC,Ferrari,5.0,4.0,10.0,Chinese Grand Prix,2019,0,19.3,27.3,26.0,0,4.0
GAS,Red Bull Racing,6.0,6.0,9.0,Chinese Grand Prix,2019,0,19.3,27.3,4.0,0,6.0
RIC,Renault,7.0,7.0,6.0,Chinese Grand Prix,2019,0,19.3,27.3,0.0,0,7.0
PER,Racing Point,8.0,12.0,4.0,Chinese Grand Prix,2019,0,19.3,27.3,1.0,0,12.0
RAI,Alfa Romeo Racing,9.0,13.0,2.0,Chinese Grand Prix,2019,0,19.3,27.3,10.0,0,13.0
ALB,Toro Rosso,10.0,0.0,1.0,Chinese Grand Prix,2019,0,19.3,27.3,2.0,0,
GRO,Haas F1 Team,11.0,10.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,0.0,0,10.0
STR,Racing Point,12.0,16.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,2.0,0,16.0
MAG,Haas F1 Team,13.0,9.0,0.0,Chinese Grand Prix,2019,0,19.3,27.3,8.0,0,9.0
